position,artist,title,year,youtube_link,spotify_link,base_year
47,Frizzle Sizzle,Alles Heeft Ritme,1986,https://www.youtube.com/watch?v=TwdO6F6sRJs,https://open.spotify.com/track/4dBFe6p0Ah0xGGjhJIa0pv,2020
48,Lena Meyer-Landrut,Satellite,2010,https://www.youtube.com/watch?v=8QSgNM9yNjo,https://open.spotify.com/track/2UjNsh4ipNrmog6wdS2JVv,2020
49,Dana International,Diva,1998,https://www.youtube.com/watch?v=Fv83u7-mNWQ,https://open.spotify.com/track/0holXF210D5UdrOBW4vVx8,2020
50,Michael Schulte,You Let Me Walk Alone,2018,https://www.youtube.com/watch?v=rp27Ggo_edo,https://open.spotify.com/track/07qlsG6DYRLBbovwca9Vbr,2020
1,ABBA (Bj̦rn & Benny & Anna & Frida),Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk,2021
2,Duncan Laurence,Arcade,2019,https://www.youtube.com/watch?v=Eztx7Wr8PtE,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,2021
3,Common Linnets,Calm After The Storm,2014,https://www.youtube.com/watch?v=hkrF8uC92O4,https://open.spotify.com/track/3mWdxSsbIK45Brors2XWR1,2021
4,Loreen,Euphoria,2012,https://www.youtube.com/watch?v=bcnWysA9gxo,https://open.spotify.com/track/2knr7ikPt4l7bk92qS4ZXW,2021
5,Anouk,Birds,2013,https://www.youtube.com/watch?v=WMTggnBEtt4,https://open.spotify.com/track/6uPVcR5TJzmTE0nFUWgNMz,2021
6,Johnny Logan,What's Another Year,1980,https://www.youtube.com/watch?v=-b3XTj5G_SA,https://open.spotify.com/track/51hipIpHYmj2Qh2tyQ32h6,2021
7,Teach-In,Ding-A-Dong,1975,https://www.youtube.com/watch?v=5zNVRMabSTU,https://open.spotify.com/track/2dZ5FvhW12NB8mQPhdBu7U,2021
8,Mocedades,Eres Tu,1973,https://www.youtube.com/watch?v=naAC37W42ro,https://open.spotify.com/track/08HeIb9BidFjKROf9ptln0,2021
9,Johnny Logan,Hold Me Now,1987,https://www.youtube.com/watch?v=TReAKhrTqKY,https://open.spotify.com/track/7KG1uA3O9cqahhVt5atWnB,2021
10,Sandra Kim,J'aime La Vie,1986,https://www.youtube.com/watch?v=F5U5bgEZRys,https://open.spotify.com/track/0Kr57gzJjexm8TF0l0JPLD,2021
11,Katrina & The Waves,Love Shine A Light,1997,https://www.youtube.com/watch?v=NnoikRec67k,https://open.spotify.com/track/1u0gdvczyEjRrBPIBHDKPK,2021
12,Alexander Rybak,Fairytale,2009,https://www.youtube.com/watch?v=WXwgZL4zx9o,https://open.spotify.com/track/3MnAsEBBsEj86d03RgO4EM,2021
13,Brotherhood Of Man,Save Your Kisses For Me,1976,https://www.youtube.com/watch?v=6OW1JJwqVRQ,https://open.spotify.com/track/3Egto4BiPhrim1EdRERwht,2021
14,M̴ns Zelmerl̦w,Heroes,2015,https://www.youtube.com/watch?v=-nbq6Ur103Q,https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI,2021
