position,artist,title,year,youtube_link,spotify_link,base_year
75,Snelle & Maan,Blijven Slapen,2021,https://www.youtube.com/watch?v=i3Kx-b8QSaw,https://open.spotify.com/track/1Fc6lVQFPOcEVz3QWEzXWL,2025
76,P!nk & Nate Ruess,Just Give Me A Reason,2012,https://www.youtube.com/watch?v=OpQFFLBMEPI,https://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e,2025
77,Chef'Special,AmÃ­go,2016,https://www.youtube.com/watch?v=LRP3ynhqKdc,https://open.spotify.com/track/3EgzTIZI6UlLMGrmRGiJ2C,2025
78,Katy Perry,Firework,2010,https://www.youtube.com/watch?v=QGJuMBdaqIw,https://open.spotify.com/track/1mXuMM6zjPgjL4asbBsgnt,2025
79,Justin Bieber,Love Yourself,2015,https://www.youtube.com/watch?v=oyEuk8j8imI,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,2025
80,David Guetta & Bebe Rexha,I'm Good (Blue),2022,https://www.youtube.com/watch?v=90RLzVUuXe4,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,2025
81,Taylor Swift,Shake It Off,2014,https://www.youtube.com/watch?v=nfWlot6h_JM,https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD,2025
82,Suzan & Freek,Als Het Avond Is,2018,https://www.youtube.com/watch?v=nBmhCIW7KCA,https://open.spotify.com/track/3ciQQMSy1lKDqJbwU9l1LT,2025
83,One Direction,What Makes You Beautiful,2011,https://www.youtube.com/watch?v=QJO3ROT-A4E,https://open.spotify.com/track/4cluDES4hQEUhmXj6TXkSo,2025
84,Shaboozey,A Bar Song (Tipsy),2024,https://www.youtube.com/watch?v=t7bQwwqW-Hc,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,2025
85,Major Lazer & DJ Snake & MÃ,Lean On,2015,https://www.youtube.com/watch?v=YqeW9_5kURI,https://open.spotify.com/track/2YWjW3wwQIBLNhxWKBQd16,2025
86,Jaap Reesema & Pommelien Thijs,Nu Wij Niet Meer Praten,2020,https://www.youtube.com/watch?v=osujHfmze_Y,https://open.spotify.com/track/7BH2Y5WMiOOvEG60WOhoWE,2025
87,Owl City,Fireflies,2009,https://www.youtube.com/watch?v=psuRGfAaju4,https://open.spotify.com/track/3DamFFqW32WihKkTVlwTYQ,2025
88,Miley Cyrus,Flowers,2023,https://www.youtube.com/watch?v=G7KNmW9a75Y,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,2025
89,Kensington,Uncharted,2019,https://www.youtube.com/watch?v=kCgCv1L3tnk,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA,2025
90,Stromae,Papaoutai,2013,https://www.youtube.com/watch?v=oiKj0Z_Xnjc,https://open.spotify.com/track/34dx8DACTJsc3rsJdaEIQw,2025
