artist,title,year,base_year,youtube_link
Zjef Vanuytsel,De Zotte Morgen,1970,2016,https://www.youtube.com/watch?v=PI0xPlXzVB0&pp=0gcJCdgAo7VqN5tD
Prince,1999,1982,2016,https://www.youtube.com/watch?v=rblt2EtFfC4
Elvis Presley,Suspicious Minds,1969,2016,https://www.youtube.com/watch?v=RxOBOhRECoo
Leonard Cohen,Suzanne,1968,2016,https://www.youtube.com/watch?v=svitEEpI07E
Neil Young & Crazy Horse,Cortez The Killer,1975,2016,https://www.youtube.com/watch?v=uX9k9aoX6gk
Deep Purple,Smoke On The Water,1971,2016,https://www.youtube.com/watch?v=Q2FzZSBD5LE
Bob Marley & The Wailers,"No Woman, No Cry (Live '75)",1975,2016,https://www.youtube.com/watch?v=r8RoUOW8ma0
Adele,Rolling In The Deep,2010,2016,https://www.youtube.com/watch?v=rYEDA3JcQqw
David Bowie,Life On Mars,1971,2016,https://www.youtube.com/watch?v=AZKcl4-tcuo
Talking Heads,Once In A Lifetime,1980,2016,https://www.youtube.com/watch?v=5IsSpAOD6K8
Elbow,One Day Like This,2008,2016,https://www.youtube.com/watch?v=0NFV8dHrZYM
Marvin Gaye,What's Going On,1971,2016,https://www.youtube.com/watch?v=H-kA3UtBj4M
Arcade Fire,Rebellion (Lies),2004,2016,https://www.youtube.com/watch?v=8vN2vqaEBhM
Derek & The Dominos,Layla (Album Version),1970,2016,https://www.youtube.com/watch?v=TngViNw2pOo
Dusty Springfield,Son-Of-A Preacher Man,1968,2016,https://www.youtube.com/watch?v=oAZLgsDRUv4
Janis Joplin,Me And Bobby McGee,1971,2016,https://www.youtube.com/watch?v=sfjon-ZTqzU
Bruce Springsteen,Dancing In The Dark,1984,2016,https://www.youtube.com/watch?v=129kuDCQtHs
Sinéad O'Connor,Nothing Compares 2 U,1989,2016,https://www.youtube.com/watch?v=0-EF60neguk&pp=0gcJCdgAo7VqN5tD
Beatles,Let It Be,1970,2016,https://www.youtube.com/watch?v=QDYfEBY9NM4
Clash,London Calling,1979,2016,https://www.youtube.com/watch?v=EfK-WX2pa8c
Radiohead,Karma Police,1997,2016,https://www.youtube.com/watch?v=1uYWYWPc9HU
Jimi Hendrix Experience,Hey Joe,1967,2016,https://www.youtube.com/watch?v=rXwMrBb2x1Q
Coldplay,Yellow,2000,2016,https://www.youtube.com/watch?v=yKNxeF4KMsY
Fleetwood Mac,Dreams,1977,2016,https://www.youtube.com/watch?v=Y3ywicffOj4
Wim De Craene,Rozane,1975,2016,https://www.youtube.com/watch?v=JGnBT1D_F1g
AC/DC,Highway To Hell,1979,2016,https://www.youtube.com/watch?v=l482T0yNkeo
