artist,title,year,youtube_link,spotify_link,base_year
ABBA,Voulez-Vous,1979,https://www.youtube.com/watch?v=za05HBtGsgU,https://open.spotify.com/track/17OqI90oTFZ3J8PVu6j07V,2001
ABBA (Bj̦rn & Benny & Anna & Frida),Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk,1999
ABBA (Bj̦rn & Benny & Anna & Frieda),Ring Ring,1973,https://www.youtube.com/watch?v=TL0EoXdpOqg,https://open.spotify.com/track/5fmvZgUFuUq1SnzT3S6y4o,2001
ABC,All Of My Heart,1982,https://www.youtube.com/watch?v=Lfph3043yZU,https://open.spotify.com/track/5OtbeQksu0wey8lWQ7fYgR,1999
ABC,Poison Arrow,1982,https://www.youtube.com/watch?v=a70yJwgQtzo,https://open.spotify.com/track/7abGerACQx9G1OBqHYFKAb,2000
ABC,The Look Of Love,1982,https://www.youtube.com/watch?v=cNEdxZURTaI,https://open.spotify.com/track/6HvUtPLqkP0t6zd6YNdWby,1999
AC/DC,Back In Black,1980,https://www.youtube.com/watch?v=pAgnJDJN4VA,https://open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj,2015
AC/DC,Hells Bells,1980,https://www.youtube.com/watch?v=etAIpkdhU9Q,https://open.spotify.com/track/2P884dqfjksDMSzUZksfrS,2024
AC/DC,Highway To Hell,1979,https://www.youtube.com/watch?v=l482T0yNkeo,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,2011
AC/DC,It's A Long Way To The Top (If You Wanna Rock 'n' Roll),1975,https://www.youtube.com/watch?v=g-qkY2yj4_A,https://open.spotify.com/track/7nemcVsXVFZF01iqpIIo2Y,2022
AC/DC,Let There Be Rock,1977,https://www.youtube.com/watch?v=3f2g4RMfhS0,https://open.spotify.com/track/753KutoAy00apPsplMRetG,2018
AC/DC,Thunderstruck,1990,https://www.youtube.com/watch?v=v2AC41dglnM,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,2009
AC/DC,Whole Lotta Rosie,1977,https://www.youtube.com/watch?v=BL58K-3XGKs,https://open.spotify.com/track/4wYq5wugZDzQiMZQYG4wVB,1999
AC/DC,You Shook Me All Night Long,1980,https://www.youtube.com/watch?v=Lo2qQmj0_h4,https://open.spotify.com/track/6yl8Es1tCYD9WdSkeVLFw4,2016
Abel,Onderweg,2000,https://www.youtube.com/watch?v=-WNo6YdN8u0,https://open.spotify.com/track/1nduf8eirAAiVLXoC1C7cz,2001
Acda & De Munnik,Als Het Vuur Gedoofd Is,1997,https://www.youtube.com/watch?v=Xxwv11ZDRA8,https://open.spotify.com/track/5TuOMmzp0QvKx7iqRSchg8,2003
Acda & De Munnik,Als Je Bij Me Weggaat,1997,https://www.youtube.com/watch?v=-koYkReEnzU,https://open.spotify.com/track/5yOiD7wDruoFDJHpVVQUTt,2024
Acda & De Munnik,Dag Esmee,1997,https://www.youtube.com/watch?v=d0jA0qRaloE,https://open.spotify.com/track/70LLJD5UzNfWdLPu9Hi7km,2015
Acda & De Munnik,Dan Leef Ik Toch Nog Een Keer,2007,https://www.youtube.com/watch?v=9uuLT7plwFo,https://open.spotify.com/track/4ayksik6LgHQXhtLzNoR44,2009
Acda & De Munnik,De Kapitein Deel II,2000,https://www.youtube.com/watch?v=_D-g3ImYDG4,https://open.spotify.com/track/25v3woD9LIoL8wJZDu7HId,2002
Acda & De Munnik,Eva,2009,https://www.youtube.com/watch?v=mxz5SNJ6C7Q,https://open.spotify.com/track/45CUrsU6XpQzzNJgdpOban,2010
Acda & De Munnik,Het Regent Zonnestralen,1998,https://www.youtube.com/watch?v=dZkbhA1NcTM,https://open.spotify.com/track/1a2GeLs7aMPvwJOjcVK0Vl,2003
Acda & De Munnik,Lopen Tot De Zon Komt,1997,https://www.youtube.com/watch?v=sY73KObcbTI,https://open.spotify.com/track/6svNJ2WPO69uhVOgyBr2VF,2007
Acda & De Munnik,Mooi Liedje,1997,https://www.youtube.com/watch?v=vF3AfTIXls8,https://open.spotify.com/track/6ZmN1gbHEGbcquWAWhHV7z,2003
Acda & De Munnik,Morgen Wordt Fantastisch,2023,https://www.youtube.com/watch?v=bSVYdYpP7qs,https://open.spotify.com/track/2UI9rmmINuXVWeOrprjWBy,2023
Acda & De Munnik,Niet Of Nooit Geweest,1998,https://www.youtube.com/watch?v=8B669SgMuVw,https://open.spotify.com/track/4439gDsZasiXC4mGpw6yJc,1999
Acda & De Munnik,Ren Lenny Ren,2002,https://www.youtube.com/watch?v=fbCwcBY-g08,https://open.spotify.com/track/7bDI0xPdgGJIq6j8Gueqhj,2003
Acda & De Munnik,"Slaap Zacht, Elisabeth",1998,https://www.youtube.com/watch?v=jhpSQCoCow8,https://open.spotify.com/track/2QsiZvzGw7VneWE1jRijm9,2019
Acda & De Munnik,Voetstuk Staan,2012,https://www.youtube.com/watch?v=tLa9F6Qm8Ak,https://open.spotify.com/track/4zQF9JVE3p0IvzC2ug7pSP,2012
Ace,How Long,1974,https://www.youtube.com/watch?v=Vo_GMMLULXw,https://open.spotify.com/track/4AjKVyNUMdUveKK5OH1OJD,1999
Ace Of Base,All That She Wants,1992,https://www.youtube.com/watch?v=d73tiBBzvFM,https://open.spotify.com/track/6kWJvPfC4DgUpRsXKNa9z9,2007
